Acronym,Name,Family,Subfamily,Genus,Host,all_NT_ACC,RdRp_NT_ACC,RdRp_PID,all_PID
APRV,Aedes_pseudoscutellaris_reovirus,Reoviridae,Spinareovirinae,Dinovernavirus,Aedes,NC_007666.1&NC_007667.1&NC_007668.1&NC_007669.1&NC_007670.1&NC_007671.1&NC_007672.1&NC_007673.1&NC_007674.1,NC_007667,YP_443936.1,YP_443935&YP_443936&YP_443937&YP_443938&YP_443939&YP_443940&YP_443941&YP_443942&YP_443943
AHSV,African_horsesickness_virus,Reoviridae,Sedoreovirinae,Orbivirus,Horse,NC_006021.1&NC_006009.1&NC_005996.1&NC_006017.1&NC_006012.1&NC_006020.1&NC_006018.1&NC_006011.1&NC_006016.1&NC_006019.1,NC_006021,YP_052966.1,YP_052966&YP_052954&YP_052941&YP_052962&YP_052957&YP_052965&YP_052963&YP_052956&YP_052961&YP_052964&YP_006491216
AGCRV,American_grass_carp_reovirus,Reoviridae,Spinareovirinae,Aquareovirus,Fish,NC_010584.1&NC_010593.1&NC_010594.1&NC_010585.1&NC_010586.1&NC_010587.1&NC_010588.1&NC_010589.1&NC_010590.1&NC_010591.1&NC_010592.1,NC_010585,YP_001837095.1,YP_001837094&YP_001837104&YP_001837105&YP_001837095&YP_001837096&YP_001837097&YP_001837098&YP_001837099&YP_001837100&YP_001837101&YP_001837102&YP_001837103
AmCPV-4,Antheraea_mylitta_cypovirus_4,Reoviridae,Spinareovirinae,Cypovirus,Moth,AF374298&AY212272&AY212273&AY212274&DQ512389&DQ975382&DQ975383&EF062995&GQ351286&HM230690&HM230691&JX853836&KJ938018,GQ351286,ADH10220.1,AAL78381&AAP44506&AAP44507&AAP44508&ABF83587&ABL60869&ABM67073&ADH10220&ADM07451&ADM07452&AGO04425&AJK26816
AHRV,Atlantic_halibut_reovirus,Reoviridae,Spinareovirinae,Aquareovirus,Fish,KJ499467&KJ499468&KJ913664,KJ499467,AIY69147.1,AIY69147&AIY69148&AIY69149
ARV,Avian_orthoreovirus,Reoviridae,Spinareovirinae,Orthoreovirus,Chicken,NC_015126.1&NC_015127.1&NC_015128.1&NC_015129.1&NC_015130.1&NC_015131.1&NC_015132.1&NC_015133.1&NC_015134.1&NC_015135.1,NC_015127,YP_004226522.1,YP_004226521&YP_004226522&YP_004226523&YP_004226524&YP_004226525&YP_004226526&YP_004226527&YP_004226528&YP_004226529&YP_004226530
BRV,Baboon_orthoreovirus,Reoviridae,Spinareovirinae,Orthoreovirus,Baboon,NC_015877.1&NC_015878.1&NC_015879.1&NC_015880.1&NC_015881.1&NC_015882.1&NC_015883.1&NC_015884.1&NC_015886.1&NC_015885.1,NC_015878,YP_004769548.1,YP_004769547&YP_004769548&YP_004769549&YP_004769550&YP_004769551&YP_004769552&YP_004769553&YP_004769554&YP_004769557&YP_004769555&YP_004769556
BAV,Banna_virus,Reoviridae,Sedoreovirinae,Seadornavirus,Mosquito_arbovirus_Vertebrates,NC_004211.1&NC_004201.1&NC_004200.1&NC_004198.1&NC_004217.1&NC_004218.1&NC_004219.1&NC_004220.1&NC_004221.1&NC_004204.1&NC_004203.1&NC_004202.1,NC_004211,NP_694469,NP_694469&NP_694459&NP_694458&NP_694456&NP_694475&NP_694476&NP_694477&NP_694478&NP_694479&NP_694462&NP_694461&NP_694460
BTV,Bluetongue_virus,Reoviridae,Sedoreovirinae,Orbivirus,Ruminants,NC_006023.1&NC_006015.1&NC_006013.1&NC_006014.1&NC_006024.2&NC_006025.1&NC_006010.1&NC_006022.1&NC_006007.1&NC_006008.1,NC_006023,YP_052968.1,YP_052968&YP_052960&YP_052958&YP_052959&YP_052969&YP_052970&YP_052955&YP_052967&YP_052952&YP_052953
BmCPV-1,Bombyx_mori_cypovirus_1,Reoviridae,Spinareovirinae,Cypovirus,Moth,AB030014&AB030015&AB035732&AF323783&AF323784&AF433659&AY388398&AY496445&FJ517140&GQ924587&KR704195&KR704199&KR704203,AY496445,AAR88092,BAA92426&BAA92427&BAB20437&AAK20303&AAK20304&AAL27617&AAQ93375&AAR88092&ACL36588&ACX54962&ALL27236&ALL27240&ALL27244
BroV,Broome_virus,Reoviridae,Spinareovirinae,Orthoreovirus,Bat,NC_014236.1&NC_014237.1&NC_014238.1&NC_014239.1&NC_014240.1&NC_014241.1&NC_014242.1&NC_014243.1&NC_014244.1&NC_014245.1,NC_014238,YP_003717773.1,YP_003717771&YP_003717772&YP_003717773&YP_003717774&YP_003717775&YP_003717776&YP_003717777&YP_003717778&YP_003717779&YP_003717780&YP_003717781
BVRV,Bush_viper_reovirus,Reoviridae,Spinareovirinae,Orthoreovirus,Snake,NC_023813.1&NC_023814.1&NC_023819.1&NC_023816.1&NC_023815.1&NC_023820.1&NC_023822.1&NC_023821.1&NC_023817.1&NC_023818.1,NC_023819,YP_009020578.1,YP_009020572&YP_009020573&YP_009020578&YP_009020575&YP_009020574&YP_009020579&YP_009020581&YP_009020582&YP_009020580&YP_009020576&YP_009020577
CsRV1,Callinectes_sapidus_reovirus_1,Reoviridae,unclassified,unclassified,Chesapeake_blue_crab,HM014010&HM014011&JN172933,HM014010,AEA30100,AEA30100&AEA30101&AEP16368
CgyORV,Cangyuan_orthoreovirus,Reoviridae,Spinareovirinae,Orthoreovirus,Bat,NC_025801.1&NC_025802.1&NC_025803.1&NC_025804.1&NC_025808.1&NC_025805.1&NC_025806.1&NC_025809.1&NC_025807.1&NC_025810.1,NC_025802,YP_009110697.1,YP_009110696&YP_009110697&YP_009110698&YP_009110699&YP_009110703&YP_009110700&YP_009110701&YP_009110704&YP_009110702&YP_009110705
CGLV,Changuinola_virus,Reoviridae,Sedoreovirinae,Orbivirus,Rodent_Oryzomys_goeldi,NC_022639.1&NC_022638.1&NC_022633.1&NC_022634.1&NC_022640.1&NC_022635.1&NC_022641.1&NC_022636.1&NC_022637.1&NC_022642.1,NC_022639,YP_008719926.1,YP_008719926&YP_008719925&YP_008719920&YP_008719921&YP_008719927&YP_008719922&YP_008719928&YP_008719923&YP_008719924&YP_008719929
CNUV,Chenuda_virus,Reoviridae,Sedoreovirinae,Orbivirus,Tick_arbovirus_Vertebrates,NC_027534.1&NC_027552.1&NC_027535.1&NC_027536.1&NC_027537.1&NC_027538.1&NC_027548.1&NC_027549.1&NC_027550.1&NC_027551.1,NC_027534,YP_009158878.1,YP_009158878&YP_009158899&YP_009158900&YP_009158879&YP_009158880&YP_009158881&YP_009158882&YP_009158894&YP_009158895&YP_009158896&YP_009158897
CGV,Chobar_Gorge_virus,Reoviridae,Sedoreovirinae,Orbivirus,Tick_arbovirus_Vertebrates,NC_027553.1&NC_027562.1&NC_027554.1&NC_027555.1&NC_027556.1&NC_027557.1&NC_027558.1&NC_027559.1&NC_027560.1&NC_027561.1,NC_027553,YP_009158901.1,YP_009158901&YP_009158911&YP_009158912&YP_009158902&YP_009158903&YP_009158904&YP_009158905&YP_009158906&YP_009158907&YP_009158908&YP_009158909&YP_009158910
