#filename,assembly_ID,order,order_details,family,family_details,genus_species,number_of_specimen,stage,sample_location,sample_date,bloodfeeding
110817_I809_FCD05CDACXX_L3_INSbusTBARABPEI-119.free.fas,INSbusTBARABPEI-119,Hymenoptera,NA,Colletidae,NA,Colletes_cunicularius,2,adult,Germany_Rhineland-Palatinate_Guntersblum,03-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBCRABPEI-135.free.fas,INSbusTBCRABPEI-135,Diptera,nematocerans,Bibionidae,NA,Bibio_marci,1,adult,Germany_North_Rhine-Westphalia_Bonn_ZFMK,05-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBDRAAPEI-79.free.fas,INSbusTBDRAAPEI-79,Lepidoptera,NA,Eriocraniidae,NA,Dyseriocrania_subpurpurella,7,adult,Germany_North_Rhine-Westphalia_Bonn_Friesdorf,30-Mar-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBFRABPEI-126.free.fas,INSbusTBFRABPEI-126,Hymenoptera,NA,Megachilidae,NA,Osmia_cornuta,1,adult,Germany_Rhineland-Palatinate_Albersweiler,01-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBGRABPEI-127.free.fas,INSbusTBGRABPEI-127,Hymenoptera,NA,Apidae,NA,Anthophora_plumipes,1,adult,Germany_Rhineland-Palatinate_Hochstadt_Pfalz,02-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBHRABPEI-138.free.fas,INSbusTBHRABPEI-138,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysura_austriaca,3,adult,Germany_Rhineland-Palatinate_Battenberg,03-Jul-2010,no
110817_I809_FCD05CDACXX_L3_INSbusTBIRAAPEI-84.free.fas,INSbusTBIRAAPEI-84,Hymenoptera,NA,Chrysididae,Chrysidinae,Hedychrum_nobile,4,adult,Germany_2_km_ssW_of_Kapsweyer_Sandbuckel,18-Jul-2010,no
110817_I809_FCD05CDACXX_L3_INSbusTBJRAAPEI-85.free.fas,INSbusTBJRAAPEI-85,Hemiptera,Heteroptera,Pyrrhocoridae,NA,Pyrrhocoris_apterus,1_4,missing,Germany_North_Rhine-Westphalia_Bonn,05-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBKRAAPEI-76.free.fas,INSbusTBKRAAPEI-76,Diptera,Brachycera,Bombyliidae,NA,Bombylius_major,3,adult,Germany_North_Rhine-Westphalia_Bonn_ZFMK,06-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBLRAAPEI-77.free.fas,INSbusTBLRAAPEI-77,Hemiptera,Heteroptera,Tingidae,NA,Corythucha_ciliata,25_or_50,adult,Germany_North_Rhine-Westphalia_Bonn,10-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBMRAAPEI-78.free.fas,INSbusTBMRAAPEI-78,Isoptera,NA,Rhinotermitidae,NA,Prorhinotermes_simplex,ca_40,not_determined,Germany_lab_cutlture_University_of_Osnabrueck_Osnabrueck_Lower_Saxony_Germany,08-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBNRABPEI-121.free.fas,INSbusTBNRABPEI-121,Hymenoptera,NA,Andrenidae,NA,Andrena_vaga,few,adult,Germany_Rhineland-Palatinate_Hochstadt_Pfalz,02-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBORAAPEI-80.free.fas,INSbusTBORAAPEI-80,Hymenoptera,NA,Apidae,NA,Xylocopa_violacea,1,adult,Germany_Rhineland-Palatinate_Dirmstein,03-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBPRAAPEI-81.free.fas,INSbusTBPRAAPEI-81,Hymenoptera,NA,Halictidae,NA,Sphecodes_albilabris,1,adult,Germany_Rhineland-Palatinate_Hochstadt_Pfalz,02-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBQRAAPEI-82.free.fas,INSbusTBQRAAPEI-82,Hymenoptera,NA,Apidae,NA,Nomada_lathburiana,1_3,adult,Germany_Rhineland-Palatinate_Hochstadt_Pfalz,02-Apr-2011,no
110817_I809_FCD05CDACXX_L3_INSbusTBRRAAPEI-83.free.fas,INSbusTBRRAAPEI-83,Hymenoptera,NA,Chrysididae,Cleptinae,Cleptes_nitidulus,8,adult,Germany_Rhineland-Palatinate_Neuleiningen_Germany_Baden-Wuerttemberg_Reinau_Germany_Hesse_Lorch_am_Rhein,2010,no
111015_I297_FCD05HRACXX_L1_INSbttTARAAPEI-83.free.fas,INSbttTARAAPEI-83,Mecoptera,NA,Bittacidae,NA,Bittacus_pilicornis,2,adult,USA_Missouri_Wallace_State_Park,22-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTBRAAPEI-91.free.fas,INSbttTBRAAPEI-91,Megaloptera,NA,Corydalidae,Chauloidinae,Chauliodes_sp,1,adult,USA_Missouri_Clinton_County_Wallace_State_Park,22-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTERAAPEI-126.free.fas,INSbttTERAAPEI-126,Trichoptera,NA,Leptoceridae,NA,Leptocerus_americanus,1,adult,USA_Minnesota_Chisago_County_Kost_Dam_Park,26-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTERAAPEI-14.free.fas,INSbttTERAAPEI-14,Odonata,Zygoptera,Coenagrionidae,NA,Argia_fumipennis,4,adult,USA_Tennessee_Campbell_County_Caryville,22-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTFRAAPEI-171.free.fas,INSbttTFRAAPEI-171,Trichoptera,NA,Leptoceridae,NA,Nectopsyche_candida,1,adult,USA_Minnesota_Chisago_County_Kost_Dam_Park,26-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTGRAAPEI-13.free.fas,INSbttTGRAAPEI-13,Megaloptera,NA,Corydalidae,Chauloidinae,Neohermes_sp,1,adult,USA_Missouri_Clinton_County_Wallace_State_Park,22-Jun-2011,no
111015_I297_FCD05HRACXX_L1_INSbttTGRAAPEI-16.free.fas,INSbttTGRAAPEI-16,Odonata,Zygoptera,Coenagrionidae,NA,Nehalennia_gracilis,9,adult,USA_Tennessee_Campbell_County_Caryville,22-Jun-2011,no
